name,source,gender,wikidata,type
"Salita Sant' Osvaldo - Oswaldleiten",,,,way
"Santa Maddalena di Sopra - Obermagdalena",,,,way
"Santa Maddalena di Sotto - Untermagdalena",,,,way
"Schloss-Ried-Weg - via Castel Ried",,,,way
"Sentiero del Confine - Grenzweg",,,,way
"Sentiero della Scuola - Schulsteig",,,,way
"Sentiero di marcia - Marchweg",,,,way
"Serbatoio d'acqua Colle - Wasserreservoir Kohlern",,,,way
"Sill - Via Castel Novale",,,,way
"Strada Rio Molino - Mühlbachpromenade",,,,way
"Strada Statale dell'Abetone e del Brennero - Brenner-Staatsstraße",,,,way
"Stradella San Maurizio - Moritzinger Feldweg",,,,way
"Superstrada Mebo - Mebo Schnellstraße",,,,way
"Superstrada Mebo - Mebo-Schnellstraße",,,,way
Traubengang,,,,way
"Untermagdalena - Santa Maddalena di Sotto",,,,way
"Unterplatten - Laste Basse",,,,way
"Valle del Lupo - Monte Cervo - Wolftal - Hirschenkopf",,,,way
"Valle dello Stagno - Weihertal",,,,way
"Vecchio sentiero del Colle - Alter Kohlererweg",,,,way
"Via Aeroporto Francesco Baracca - Flughafen-Francesco-Baracca-Straße",,,,way
"Via Agruzzo - Grutzenweg",,,,way
"Via Albin Egger Lienz - Albuin-Egger-Lienz-Straße",,,,way
"Via Alto Adige - Südtiroler Straße",,,,way
"Via Amalfi - Amalfistraße",,,,way
"Via Anna Ruedl Zagler - Anna-Ruedl-Zagler-Straße",,,,way
"Via Antonio Meucci - Antonio-Meucci-Straße",,,,way
"Via Antonio Rosmini - Antonio-Rosmini-Straße",,,,way
"Via Argentieri - Silbergasse",,,,way
"Via Aslago - Haslacher Straße",,,,way
"Via Bivio - Kaiserau",,,,way
"Via Brennero - Brennerstraße",,,,way
"Via Cadorna - Cadornastraße",,,,way
"Via Campegno - Kampenner Weg",,,,way
"Via Campofranco - Campofrancostraße",,,,way
"Via Camponuovo - Neufeldweg",,,,way
"Via Camporoda - Rodlauweg",,,,way
"Via Cassa di Risparmio - Sparkassenstraße",,,,way
"Via Castel Firmiano - Sigmundskroner Straße",,,,way
"Via Castel Greifenstein - Greifensteiner Weg",,,,way
"Via Chiaro di Luna",,,,way
"Via Cologna - Glaninger Weg",,,,way
"Via Cologna - Glaningerweg",,,,way
"Via Crispi - Crispistraße",,,,way
"Via Damiano Chiesa - Damiano-Chiesa-Straße",,,,way
"Via Delai - Delai-Straße",,,,way
"Via Dodiciville (privata) - Zwölfmalgreiner Straße (privat)",,,,way
"Via Dodiciville - Zwölfmalgreiner Straße",,,,way
"Via Dolomiti - Dolomitenstraße",,,,way
"Via Don Narciso Sordo - Don-Narciso-Sordo-Straße",,,,way
"Via Dr. Julius Perathoner - Dr.-Julius-Perathoner-Straße",,,,way
"Via Einstein",,,,way
"Via Eisenkeller - Eisenkellerweg",,,,way
"Via Enrico Mattei - Enrico-Mattei-Straße",,,,way
"Via Enzo Ferrari - Enzo Ferrari Straße",,,,way
"Via Eugen Müller - Eugen-Müller-Straße",,,,way
"Via Fago - Fagenstraße",,,,way
"Via Fratelli Bronzetti - Brüder-Bronzetti-Straße",,,,way
"Via Galileo Galilei",,,,way
"Via Galvani - Galvani Straße",,,,way
"Via Gebert-Deeg",,,,way
"Via Giannantonio Manci - Giannantonio-Manci-Straße",,,,way
"Via Gianni Brida - Gianni-Brida-Straße",,,,way
"Via Giuseppe Cesare Abba - Giuseppe-Cesare-Abba-Straße",,,,way
"Via Glorenza - Glurnser Straße",,,,way
"Via Guncina - Guntschnastraße",,,,way
"Via Hermann Von Gilm - Hermann-Von-Gilm-Straße",,,,way
"Via Hildegard Straub - Hildegard-Straub-Straße",,,,way
"Via In Villa - Im Dorf",,,,way
"Via Innsbruck - Innsbrucker Straße",,,,way
"Via Ischia - Ischiastraße",,,,way
"Via Johann Wolfgang Von Goethe - Johann-Wolfgang-Von-Goethe-Straße",,,,way
"Via Josef Mayr Nusser - Josef-Mayr-Nusser-Straße",,,,way
"Via Laurin - Laurinstraße",,,,way
"Via Leonardo da Vinci - Leonardo-da-Vinci-Straße",,,,way
"Via Lorenz Böhler - Lorenz-Böhler-Straße",,,,way
"Via Loris Musy - Loris-Musy-Straße",,,,way
"Via Lungo Isarco Sinistro",,,,way
"Via Maestri del Lavoro - Meister-Der-Arbeit-Straße",,,,way
"Via Maestri del Lavoro - Meister-der-Arbeit-Straße",,,,way
"Via Malles - Malser Straße",,,,way
"Via Masi - Höfestraße",,,,way
"Via Maso della Pieve - Pfarrhofstraße",,,,way
"Via Merano - Meraner Straße",,,,way
"Via Miramonti - Reichrieglerweg",,,,way
"Via Molini - Mühlgasse",,,,way
"Via Monte Tondo - Hörtenbergstraße",,,,way
"Via Museo - Museumstraße",,,,way
"Via Oltradige - Überetscher Straße",,,,way
"Via Ospedale - Spitalgasse",,,,way
"Via Penegal - Penegalstraße",,,,way
"Via Pfannenstiel - Pfannenstielweg",,,,way
"Via Piani D'Isarco - Leegtorweg",,,,way
"Via Piani di Bolzano - Bozner-Boden-Straße",,,,way
"Via Piani di Bolzano - Bozner-Boden-Weg",,,,way
"Via Piave - Piavestraße",,,,way
"Via Piero Agostini - Piero-Agostini-Straße",,,,way
"Via Pietralba - Weißensteiner Straße",,,,way
"Via Pietralba - Weißensteiner Weg",,,,way
"Via Rafenstein - Rafensteiner Weg",,,,way
"Via Raffaello Sernesi - Raffaello-Sernesi-Straße",,,,way
"Via Raiffeisen - Raiffeisenstraße",,,,way
"Via Rencio - Rentschner Straße",,,,way
"Via Renon - Rittner Straße",,,,way
"Via Resia",,,,way
"Via Resia - Reschenstraße",,,,relation+way
"Via Rio Molino - Mühlbachpromenade",,,,way
"Via Rivellone - Rivelaunweg",,,,way
"Via Rottenbuch - Rottenbuchweg",,,,way
"Via San Genesio - Jenesier Weg",,,,way
"Via San Giacomo - St. Jakobstraße",,,,way
"Via San Giorgio - St.-Georgen-Straße",,,,way
"Via San Leopoldo - Leopold-Straße",,,,way
"Via San Pietro - St.-Peter-Straße",,,,way
"Via San Quirino - Quireiner Straße",,,,way
"Via Sant' Osvaldo - Oswaldweg",,,,way
"Via Sant' Urbano - St.-Urban-Weg",,,,way
"Via Sant'Antonio - Sankt-Anton-Straße",,,,way
"Via Santa Giustina - St.-Justina-Straße",,,,way
"Via Sarentino - Sarntaler Straße",,,,way
"Via Sigismund Schwarz - Sigismund-Schwarz-Straße",,,,way
"Via Sigmund Schwarz - Sigmund-Schwarz-Straße",,,,way
"Via Sopron - Ödenburger Straße",,,,way
"Via Talvera - Talfergasse",,,,way
"Via Torquato Taramelli - Torquato-Taramelli-Straße",,,,way
"Via Tre Santi - Dreiheiligengasse",,,,way
"Via Trento",,,,way
"Via Val d'Ega - Eggentaler Straße",,,,way
"Via Vintler - Vintlerstraße",,,,way
"Via Weggenstein - Weggensteinstraße",,,,way
"Via Wendelstein - Wendelsteinstraße",,,,way
"Via Wolkenstein - Wolkensteingasse",,,,way
"Via al Boschetto - Hainweg",,,,way
"Via al Colle - Kohlern",,,,way
"Via degli Artigiani - Handwerkerstraße",,,,way
"Via dei Bottai - Bindergasse",,,,way
"Via dei Cappuccini - Kapuzinergasse",,,,way
"Via dei Combattenti - Frontkämpferstraße",,,,way
"Via dei Conciapelli - Gerbergasse",,,,way
"Via dei Francescani - Franziskanergasse",,,,way
"Via dei Grappoli - Weintraubengasse",,,,way
"Via dei Portici - Laubengasse",,,,way
"Via dei Vanga - Wangergasse",,,,way
"Via dei Villini - Villenstraße",,,,way
"Via del Calvario - Kalvarienbergstrasse",,,,way
"Via del Macello - Schlachthofstraße",,,,way
"Via del Parco - Parkstraße",,,,way
"Via del Ronco - Neubruchweg",,,,way
"Via del Santissimo Rosario - Rosenkranzstraße",,,,way
"Via del Vigneto - Weinbergweg",,,,way
"Via del Virgolo - Virglweg",,,,way
"Via dell'Isarco - Eisackstraße",,,,way
"Via della Mendola - Alte Mendelstraße",,,,way
"Via della Mostra - Mustergasse",,,,way
"Via della Posta - Postgasse",,,,way
"Via della Rena - Raingasse",,,,way
"Via della Roggia - Rauschertorgasse",,,,way
"Via della Torre - Gscheibter-Turm-Weg",,,,way
"Via della Vigna - Weingartenweg",,,,way
"Via della Visitazione - Mariaheimweg",,,,way
"Via delle Fucine - Schmiedgasse",,,,way
"Via delle Marcelline - Marcellinenstraße",,,,way
"Via di Mezzo Ai Piani - Bozner-Boden-Mitterweg",,,,way
"Viale Druso - Drususallee",,,,relation+way
"Viale Europa - Europaallee",,,,way
"Viale della Stazione - Bahnhofsallee",,,,way
"Vicolo Ca' De Bezzi - Batzenhäuslgasse",,,,way
"Vicolo Gumer - Gumergasse",,,,way
"Vicolo Lageder - Lagederweg",,,,way
"Vicolo Muri - Tuchbleichgasse",,,,way
"Vicolo Sabbia - Zum Talfergries",,,,way
"Vicolo San Giovanni - St.-Johann-Gasse",,,,way
"Vicolo San Quirino - Quireiner Gasse",,,,way
"Vicolo Wenter - Wentergasse",,,,way
"Vicolo del Bersaglio - Schießstandweg",,,,way
"Vicolo del Crocifisso - Kreuzgasse",,,,way
"Vicolo della Fossa - Winklergasse",,,,way
"Vicolo della Parrocchia - Pfarrgasse",,,,way
"Vicolo della Pesa - Waaggasse",,,,way
"Vicolo delle Erbe - Erbsengasse",,,,way
Vierkreuz,,,,way
"Weinstraße - Strada del Vino",,,,way
"Wolftal - Hirschenkopf",,,,way
"Zufahrt Herrentisch",,,,way
"via Campegno",,,,way
